label,coef,lo,hi
"OLS, base (n=1145)",0.00133240476081734,0.000994527582409858,0.001670281939224822
"OLS, + wing + tarsus",0.002375094659355687,0.0019392661091214827,0.0028109232095898918
"OLS, cluster-robust (Order)",0.00133240476081734,0.0003401158739770832,0.002324693647657597
"MLM, random intercept Order",0.0006979156096548334,0.00024029849531055452,0.0011555327239991123
MLM Order + wing + tarsus,0.0009959362262594086,0.0004013716859889334,0.0015905007665298837
"MLM, random intercept Family",0.0009006707456897936,0.0004206884321938232,0.0013806530591857638
MLM Family + wing + tarsus,0.001187933748988447,0.0006120351170957645,0.0017638323808811295
Passeriformes only (n=588),0.0005444642326260128,-4.786563307038205e-05,0.0011367940983224075
Charadriiformes only (n=133),0.0013939239291523825,0.000152302330372467,0.002635545527932298
Anseriformes only (n=41),0.004088896801008648,0.0014117206340163381,0.006766072968000959
Galliformes only (n=41),-1.4905176860015301e-05,-0.004072193888677701,0.00404238353495767
Accipitriformes only (n=39),-0.0031457035647522815,-0.006589015931093822,0.00029760880158925937
Columbiformes only (n=37),-0.0040087558888148795,-0.008215831963078703,0.00019832018544894536
Aerial only (n=111),0.005189853409010523,0.003788274826459348,0.006591431991561697
Aquatic only (n=91),0.003090513797806501,0.0019161791028184606,0.004264848492794541
Terrestrial only (n=361),0.0016321239904796446,0.001043753853158347,0.002220494127800942
Generalist only (n=147),0.00046201011297762975,-0.0005489875892043469,0.0014730078151596064
Insessorial only (n=435),-0.0016690111026397476,-0.0027370355580506696,-0.0006009866472288256
