Taxon,FC,cor
Fruitadens,19.6,2
Lesothosaurus,41.5,1.987
Jeholosaurus,50.2,2
Gasparinisaura,55,2
Stegoceras,60.5,2.008
Hypsilophodon,70,2.02
Homalocephale,83,2
Dryosaurus,138,2.02
Thescelosaurus,183,2.01
Massosspondylus,209,2
Plateosaurus,253,1.987
Mahakala,19.9,2
Velociraptor,64,2.008
Ornithomimus,110,2.008
Deinonychus,116,1.987
Herrerasaurus,170,2.02
Gallimimus,216,2
Majungasaurus,323,2
Carnotaurus,325,2.02
Gigantoraptor,349,2
Albertosaurus,340,1.865
Allosaurus,381,1.865
Daspletosaurus,390,2
Gorgosaurus,394,1.97
Suchomimus,408,1.766
Acrocanthosaurus,427,1.987
Mapusaurus,455,2
Tyrannotitan,500,2
Giganotosaurus,521,2.01
TyrannosaurusFMNH2081,579,1.815
TyrannosaurusRSM2523.8,570,1.987
TyrannosaurusCM9380,534,1.987
TyrannosaurusMOR555,520,1.987
TyrannosaurusBHI3033,505,1.97
