Mon.Groups,Family,Species,Common.Name,SP.,BM,Humerus.Length,HC,Femur.Length,FC,HCFC,log.BM,log.HCFC
Afrotheria,Elephantidae,Elephas maximus,Indian elephant,ZMUC 1399,3534000,830,310,980,315,625,6.548266545,2.795880017
Afrotheria,Elephantidae,Loxodonta africana,African elephant,ROM R6000,6435000,1035,416.3,1147.5,399,815.3,6.808548551,2.911317442
Afrotheria,Macroscelididae,Petrodromus tetradactylus,Four-toed Elephant Shrew,ROM 85723,275,33.7,9.5,47.3,12.5,22,2.439332694,1.342422681
Afrotheria,Macroscelididae,Rhynchocyon cirnei,Checkered Elephant Shrew,ROM 47023,445,NA,9.5,55.45,13.75,23.25,2.648360011,1.366422957
Afrotheria,Procaviidae,Heterohyrax brucei,Yellow-spotted Rock Hyrax,ROM 64992,3650,78.2,21.75,79.5,24.25,46,3.562292864,1.662757832
Carnivora,Canidae,Alopex lagopus,Arctic Fox,ROM 105014,3710,112.15,23,114.68,24.85,47.85,3.56937391,1.679881942
Carnivora,Canidae,Canis latrans,Coyote,ROM R6654,13608,166.2,41,178.35,40.6,81.6,4.133794301,1.911690159
Carnivora,Canidae,Canis lupus,Wolf,ROM 101841,32000,211,53.25,226.5,51.75,105,4.505149978,2.021189299
Carnivora,Canidae,Cuon alpinus,Dhole,ROM 105074,15400,158.3,42.35,173.75,44.15,86.5,4.187520721,1.937016107
Carnivora,Canidae,Nyctereutes procyonoides,Racoon Dog,ROM 94037,3500,84.3,25.25,89.74,25.75,51,3.544068044,1.707570176
Carnivora,Canidae,Urocyon cinereoargentus,Gray fox,ROM 14309,4800,102.74,24.1,115,27.15,51.25,3.681241237,1.70969387
Carnivora,Canidae,Vulpes velox,Swift Fox,ROM 105398,2300,99.88,21.55,99.17,23.3,44.85,3.361727836,1.651762447
Carnivora,Canidae,Vulpes vulpes,Red Fox,ROM 28025,6000,125.1,26.25,127.62,26.95,53.2,3.77815125,1.725911632
Carnivora,Canidae,Vulpes zerda,Fennec Fox,ROM 91467,1000,68.2,16.25,70.4,16.25,32.5,3,1.511883361
Carnivora,Felidae,Acinonyx jubatus,Cheetah,ROM 111488,60400,243.5,62.5,268.5,67.5,130,4.781036939,2.113943352
Carnivora,Felidae,Felis catus,Domestic cat,ZMUC 3629-CH2005,8400,104,28.5,119.5,30,58.5,3.924279286,1.767155866
Carnivora,Felidae,Leopardus pardalis,Ocelot,ZMUC 1111-CH2005,13900,144.5,40.5,165,42,82.5,4.1430148,1.916453949
Carnivora,Felidae,Lynx canadensis,Canadian Lynx,ROM 74772,17710,178.75,38.75,215.55,40.85,79.6,4.248218561,1.900913068
