order,family,species,asymmetry,ellipticity,egg_length_cm,Species1,Family1,Order1,Mass,Hand.Wing.Index,Wing.Length,Kipps.Distance,Tail.Length,Tarsus.Length,Beak.Length_Culmen,Migration,Primary.Lifestyle,_merge
ACCIPITRIFORMES,Accipitridae,Accipiter badius,0.1378,0.3435,3.8642,Accipiter badius,Accipitridae,Accipitriformes,131.2,32.9,186.7,62.5,140.6,43.0,20.6,3,Insessorial,both
ACCIPITRIFORMES,Accipitridae,Accipiter cooperii,0.0937,0.2715,4.9008,Accipiter cooperii,Accipitridae,Accipitriformes,429.7,32.3,241.2,77.8,188.4,62.0,25.4,3,Aerial,both
ACCIPITRIFORMES,Accipitridae,Accipiter gentilis,0.1114,0.3186,5.9863,Accipiter gentilis,Accipitridae,Accipitriformes,866.0,36.3,337.6,122.6,241.1,67.3,33.7,2,Generalist,both
ACCIPITRIFORMES,Accipitridae,Accipiter nisus,0.0808,0.2391,4.0355,Accipiter nisus,Accipitridae,Accipitriformes,220.8,35.5,207.4,74.2,155.5,53.6,19.6,2,Insessorial,both
ACCIPITRIFORMES,Accipitridae,Accipiter striatus,0.0749,0.2543,3.87,Accipiter striatus,Accipitridae,Accipitriformes,130.6,30.7,181.6,56.6,134.3,49.9,18.3,3,Aerial,both
ACCIPITRIFORMES,Accipitridae,Aegypius monachus,0.07,0.3476,8.9076,Aegypius monachus,Accipitridae,Accipitriformes,9320.6,41.1,734.2,302.2,371.0,134.2,87.8,1,Terrestrial,both
ACCIPITRIFORMES,Accipitridae,Aquila chrysaetos,0.1192,0.3058,7.7318,Aquila chrysaetos,Accipitridae,Accipitriformes,4248.0,36.7,603.1,221.2,307.1,101.4,56.8,2,Aerial,both
ACCIPITRIFORMES,Accipitridae,Aquila rapax,0.125,0.3518,6.842,Aquila rapax,Accipitridae,Accipitriformes,2236.1,38.7,506.6,196.0,242.4,84.3,54.0,3,Generalist,both
ACCIPITRIFORMES,Accipitridae,Buteo albicaudatus,0.0818,0.284,5.8095,,,,,,,,,,,,,left_only
ACCIPITRIFORMES,Accipitridae,Buteo brachyurus,0.1396,0.2371,5.5972,Buteo brachyurus,Accipitridae,Accipitriformes,496.0,29.7,307.6,90.0,171.0,53.8,31.1,1,Aerial,both
ACCIPITRIFORMES,Accipitridae,Buteo buteo,0.0704,0.261,5.6364,Buteo buteo,Accipitridae,Accipitriformes,759.1,38.3,382.9,147.2,214.4,75.8,35.9,2,Insessorial,both
ACCIPITRIFORMES,Accipitridae,Buteo jamaicensis,0.0844,0.2802,6.0986,Buteo jamaicensis,Accipitridae,Accipitriformes,1101.2,34.1,402.8,139.9,212.2,80.9,37.6,3,Insessorial,both
ACCIPITRIFORMES,Accipitridae,Buteo lagopus,0.0988,0.27,5.7285,Buteo lagopus,Accipitridae,Accipitriformes,949.8,42.1,428.3,180.3,240.0,72.3,34.5,3,Insessorial,both
ACCIPITRIFORMES,Accipitridae,Buteo lineatus,0.0906,0.2677,5.5412,Buteo lineatus,Accipitridae,Accipitriformes,603.7,33.4,319.0,106.9,172.8,74.1,33.1,3,Aerial,both
ACCIPITRIFORMES,Accipitridae,Buteo nitidus,0.0761,0.2625,5.3464,Buteo nitidus,Accipitridae,Accipitriformes,519.0,27.5,247.3,71.9,170.6,64.6,30.3,1,Insessorial,both
ACCIPITRIFORMES,Accipitridae,Buteo platypterus,0.1045,0.2498,5.1368,Buteo platypterus,Accipitridae,Accipitriformes,453.7,36.9,277.7,103.7,178.8,53.4,28.3,3,Insessorial,both
ACCIPITRIFORMES,Accipitridae,Buteo regalis,0.1035,0.2849,6.3294,Buteo regalis,Accipitridae,Accipitriformes,1437.2,41.3,431.0,179.2,240.6,81.6,41.3,3,Generalist,both
ACCIPITRIFORMES,Accipitridae,Buteo swainsoni,0.0972,0.2998,5.7525,Buteo swainsoni,Accipitridae,Accipitriformes,946.6,46.6,383.7,175.2,193.6,60.7,35.3,3,Insessorial,both
ACCIPITRIFORMES,Accipitridae,Buteogallus anthracinus,0.0845,0.2709,5.8357,Buteogallus anthracinus,Accipitridae,Accipitriformes,975.1,30.7,355.2,106.0,206.2,78.6,39.6,1,Insessorial,both
ACCIPITRIFORMES,Accipitridae,Circus cyaneus,0.1078,0.2998,4.6828,Circus cyaneus,Accipitridae,Accipitriformes,393.0,44.7,352.4,158.9,131.7,72.1,30.1,3,Aerial,both
ACCIPITRIFORMES,Accipitridae,Elanoides forficatus,0.1067,0.2538,4.6316,Elanoides forficatus,Accipitridae,Accipitriformes,416.2,46.9,412.8,189.1,279.2,33.5,29.4,3,Generalist,both
