species,order,family,log_mass,HWI,ellipticity,asymmetry,resid
Accipiter badius,ACCIPITRIFORMES,Accipitridae,2.1179338350396413,32.9,0.3435,0.1378,-0.04891799410447917
Accipiter cooperii,ACCIPITRIFORMES,Accipitridae,2.633165353683903,32.3,0.2715,0.0937,-0.13238681684703596
Accipiter gentilis,ACCIPITRIFORMES,Accipitridae,2.937517892017347,36.3,0.3186,0.1114,-0.09786342610907905
Accipiter nisus,ACCIPITRIFORMES,Accipitridae,2.3439990690571615,35.5,0.2391,0.0808,-0.16216512434096095
Accipiter striatus,ACCIPITRIFORMES,Accipitridae,2.115943176939055,30.7,0.2543,0.0749,-0.13513930373100258
Aegypius monachus,ACCIPITRIFORMES,Accipitridae,3.9694438703262818,41.1,0.3476,0.07,-0.09983033449734013
Aquila chrysaetos,ACCIPITRIFORMES,Accipitridae,3.6281845080734128,36.7,0.3058,0.1192,-0.12764196864959626
Aquila rapax,ACCIPITRIFORMES,Accipitridae,3.3494912216102164,38.7,0.3518,0.125,-0.07767076477671164
Buteo brachyurus,ACCIPITRIFORMES,Accipitridae,2.6954816764901977,29.7,0.2371,0.1396,-0.16480638906363917
Buteo buteo,ACCIPITRIFORMES,Accipitridae,2.8802989914257524,38.3,0.261,0.0704,-0.1567657866260599
Buteo jamaicensis,ACCIPITRIFORMES,Accipitridae,3.041866202721293,34.1,0.2802,0.0844,-0.13581679106532224
Buteo lagopus,ACCIPITRIFORMES,Accipitridae,2.9776321652459994,42.1,0.27,0.0988,-0.15514654152594926
Buteo lineatus,ACCIPITRIFORMES,Accipitridae,2.780821175853473,33.4,0.2677,0.0906,-0.1411683200585957
Buteo nitidus,ACCIPITRIFORMES,Accipitridae,2.7151673578484576,27.5,0.2625,0.0761,-0.13694383770742613
Buteo platypterus,ACCIPITRIFORMES,Accipitridae,2.6567687792660166,36.9,0.2498,0.1045,-0.16077790394053906
Buteo regalis,ACCIPITRIFORMES,Accipitridae,3.157517208532612,41.3,0.2849,0.1035,-0.14346389117491165
Buteo swainsoni,ACCIPITRIFORMES,Accipitridae,2.976166500131975,46.6,0.2998,0.0972,-0.13130746374752605
Buteogallus anthracinus,ACCIPITRIFORMES,Accipitridae,2.9890491564382202,30.7,0.2709,0.0845,-0.1393289791778724
Circus cyaneus,ACCIPITRIFORMES,Accipitridae,2.5943925503754266,44.7,0.2998,0.1078,-0.11968541004619165
Elanoides forficatus,ACCIPITRIFORMES,Accipitridae,2.6193020758756083,46.9,0.2538,0.1067,-0.16920982548172853
Elanus leucurus,ACCIPITRIFORMES,Accipitridae,2.5390760987927767,41.5,0.3294,0.1048,-0.08450456534486939
Gyps fulvus,ACCIPITRIFORMES,Accipitridae,3.871339381099861,39.2,0.3838,0.1322,-0.058762782720265694
Haliaeetus albicilla,ACCIPITRIFORMES,Accipitridae,3.6747968640708515,38.0,0.2862,0.1349,-0.15008398960029645
Haliaeetus leucocephalus,ACCIPITRIFORMES,Accipitridae,3.6721532962459307,41.4,0.3081,0.1076,-0.13265121934255175
Haliaeetus leucogaster,ACCIPITRIFORMES,Accipitridae,3.4513258084895195,41.3,0.2223,0.0601,-0.21305981787799882
Haliaeetus leucoryphus,ACCIPITRIFORMES,Accipitridae,3.4602812781779106,42.8,0.308,0.1196,-0.12957166523595398
Haliastur indus,ACCIPITRIFORMES,Accipitridae,2.7234556720351857,36.4,0.3236,0.0863,-0.08789959454194973
Hieraaetus pennatus,ACCIPITRIFORMES,Accipitridae,2.915821787620399,42.0,0.2847,0.126,-0.13884152360216095
Ictinia mississippiensis,ACCIPITRIFORMES,Accipitridae,2.4409090820652177,53.6,0.2291,0.0899,-0.19858919136623973
Milvus migrans,ACCIPITRIFORMES,Accipitridae,2.8657552240714517,48.1,0.3064,0.1145,-0.12407704915614443
Neophron percnopterus,ACCIPITRIFORMES,Accipitridae,3.3184807251745174,48.0,0.3321,0.0728,-0.10902373283068312
Parabuteo unicinctus,ACCIPITRIFORMES,Accipitridae,2.92957217907655,30.8,0.2992,0.1021,-0.10974600319805572
Rostrhamus sociabilis,ACCIPITRIFORMES,Accipitridae,2.564547711755948,39.1,0.2521,0.0647,-0.15921330284113094
Sarcogyps calvus,ACCIPITRIFORMES,Accipitridae,3.6502978072630357,44.0,0.2807,0.121,-0.16299506694352972
Cathartes aura,ACCIPITRIFORMES,Cathartidae,3.1813289870897337,26.9,0.4561,0.1223,0.04635575105887768
Coragyps atratus,ACCIPITRIFORMES,Cathartidae,3.27455038490953,14.3,0.515,0.1684,0.11982434043628898
Gymnogyps californianus,ACCIPITRIFORMES,Cathartidae,3.926481357476542,41.1,0.681,0.0991,0.2345926532263729
Pandion haliaetus,ACCIPITRIFORMES,Pandionidae,3.171199716800422,44.9,0.3446,0.1135,-0.08888634485272334
Sagittarius serpentarius,ACCIPITRIFORMES,Sagittariidae,3.6039018317316716,40.6,0.4811,0.2731,0.04303985173269054
Aix sponsa,ANSERIFORMES,Anatidae,2.817961804531994,49.4,0.3415,0.07,-0.08957115807805754
Anas acuta,ANSERIFORMES,Anatidae,2.975247941240681,57.8,0.4264,0.1079,-0.019608525106195485
Anas bahamensis,ANSERIFORMES,Anatidae,2.690196080028514,44.9,0.3823,0.1027,-0.039733085188887185
Anas crecca,ANSERIFORMES,Anatidae,2.5338991007965945,53.5,0.3759,0.0905,-0.053870152092093004
Anas fulvigula,ANSERIFORMES,Anatidae,2.9260335966788444,48.8,0.4041,0.0464,-0.02874503110354454
Anas platyrhynchos,ANSERIFORMES,Anatidae,2.9260335966788444,50.7,0.4012,0.098,-0.034176600149097514
Anas poecilorhyncha,ANSERIFORMES,Anatidae,3.0,46.6,0.2748,0.0385,-0.15687496727934647
Anas rubripes,ANSERIFORMES,Anatidae,3.09377178149873,51.4,0.4191,0.0679,-0.021203326019842206
Anser albifrons,ANSERIFORMES,Anatidae,3.3990503818736486,52.6,0.5313,0.1382,0.08212874742712944
Anser brachyrhynchus,ANSERIFORMES,Anatidae,3.4219328132785085,49.3,0.534,0.1121,0.08868082565945368
Aythya affinis,ANSERIFORMES,Anatidae,2.9135489579065177,51.0,0.4449,0.0999,0.009420952286589623
Aythya americana,ANSERIFORMES,Anatidae,3.031691168625146,46.0,0.4246,0.0752,-0.0070301282461247006
Aythya collaris,ANSERIFORMES,Anatidae,2.8479426388452236,48.2,0.4049,0.0447,-0.025286151126227785
Aythya marila,ANSERIFORMES,Anatidae,3.0023388808920566,48.9,0.4481,0.0898,0.013304810278793988
Aythya valisineria,ANSERIFORMES,Anatidae,3.079904467666721,42.0,0.4413,0.0803,0.013851475707530703
Branta bernicla,ANSERIFORMES,Anatidae,3.1064968701389724,52.3,0.5066,0.134,0.06479451043865964
Branta canadensis,ANSERIFORMES,Anatidae,3.4489689808943678,49.4,0.5178,0.1202,0.07170382238336992
